TF-IDF,Rake,Embedding,Words
continuous,continuous,continuous,string
,,,meta type=words
0.11730654281377942,0.8780487804878049,1.0831444142684454e-16,inflation
0.10241079464277408,0.7073170731707317,2.166288828536891e-17,pandemic
0.08656546801597965,0.5365853658536586,8.935941417714675e-17,economic
0.06898723728241966,0.5609756097560976,-1.8955027249697796e-17,measures
0.0659191661402613,0.21951219512195122,-2.166288828536891e-17,climate
0.06329985003047349,0.07317073170731707,-1.8955027249697794e-16,term
0.06081139776559014,0.6585365853658537,1.624716621402668e-17,recovery
0.05948801185589977,0.34146341463414637,7.852797003446229e-17,conditions
0.05829642344987507,,-2.166288828536891e-17,cent
0.05749862423832339,0.5365853658536586,0.0,growth
0.054708475410439994,0.024390243902439025,-8.12358310701334e-18,per
0.05462437724777185,0.6585365853658537,6.228080382043562e-17,support
0.051714955057944725,0.0975609756097561,5.144935967775116e-17,financial
0.04905940908058851,0.17073170731707318,4.332577657073782e-17,fiscal
0.047483684752310004,0.8780487804878049,-8.394369210580452e-17,continue
0.04530911762045527,0.0975609756097561,-6.769652589177784e-17,rates
0.044849556768201904,0.04878048780487805,-6.228080382043562e-17,council
0.04313359960627426,0.43902439024390244,-4.332577657073782e-17,outlook
0.04231967173315299,0.7804878048780488,0.0,year
0.042134249441707156,0.0975609756097561,-4.8741498642080043e-17,change
0.04210445774006045,0.43902439024390244,2.7078610356711136e-18,crisis
0.041964417089091585,0.43902439024390244,-4.06179155350667e-17,financing
0.04172962236844337,,-2.7078610356711136e-18,governing
0.04141718834324766,0.3170731707317073,-7.040438692744895e-17,activity
0.041016353084147035,0.5121951219512195,1.624716621402668e-17,remain
0.0402668866613253,0.5365853658536586,-8.394369210580452e-17,banks
0.03877560809266594,0.9024390243902439,5.415722071342227e-18,time
0.038489365403284924,0.4146341463414634,5.415722071342227e-18,demand
0.03745179681977599,0.6585365853658537,-7.852797003446229e-17,medium
0.03673523830231297,0.2926829268292683,-2.978647139238225e-17,purchases
0.03663022509278936,,-5.686508174909338e-17,bankers
0.036215045860754164,0.5121951219512195,1.9225813353264906e-16,risks
0.03617239235949678,0.2682926829268293,-2.7078610356711136e-18,europe
0.0359479593048981,0.0975609756097561,-5.415722071342227e-18,price
0.034951602954890075,0.5853658536585366,4.8741498642080043e-17,pepp
0.034864839802788615,0.0975609756097561,6.228080382043562e-17,interest
0.03448477430139769,0.12195121951219512,-2.4370749321040022e-17,rate
0.033934538762152036,,-5.95729427847645e-17,bis
0.0338578657707521,0.04878048780487805,5.415722071342227e-17,favourable
0.03362827012588633,0.3170731707317073,-3.249433242805336e-17,policies
0.03361232720506347,0.04878048780487805,1.0289871935550232e-16,global
0.03302165405480515,0.17073170731707318,0.0,strategy
0.03290352021381674,0.7804878048780488,5.144935967775116e-17,impact
0.03290046595685993,0.04878048780487805,-1.0831444142684454e-17,asset
0.03274728873265353,0.21951219512195122,-2.7078610356711135e-17,quarter
0.03238057872014363,0.3170731707317073,-4.06179155350667e-17,review
0.03176440730660103,,0.0,annual
0.03153053096593164,0.7317073170731707,-6.769652589177784e-17,households
0.03151327682853125,0.21951219512195122,1.624716621402668e-17,liquidity
0.031202537136337402,0.3902439024390244,0.0,loans
