"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","QGDP","VOLIDX","IDX","Q","2013-Q4",96.9,
"BEL","QGDP","VOLIDX","IDX","Q","2014-Q1",97.3,
"BEL","QGDP","VOLIDX","IDX","Q","2014-Q2",97.6,
"BEL","QGDP","VOLIDX","IDX","Q","2014-Q3",98.3,
"BEL","QGDP","VOLIDX","IDX","Q","2014-Q4",98.8,
"BEL","QGDP","VOLIDX","IDX","Q","2015-Q1",99.3,
"BEL","QGDP","VOLIDX","IDX","Q","2015-Q2",100,
"BEL","QGDP","VOLIDX","IDX","Q","2015-Q3",100.2,
"BEL","QGDP","VOLIDX","IDX","Q","2015-Q4",100.6,
"BEL","QGDP","VOLIDX","IDX","Q","2016-Q1",100.6,
"BEL","QGDP","VOLIDX","IDX","Q","2016-Q2",101.2,
"BEL","QGDP","VOLIDX","IDX","Q","2016-Q3",101.4,
"BEL","QGDP","VOLIDX","IDX","Q","2016-Q4",101.9,
"BEL","QGDP","VOLIDX","IDX","Q","2017-Q1",102.6,
"BEL","QGDP","VOLIDX","IDX","Q","2017-Q2",102.8,
"BEL","QGDP","VOLIDX","IDX","Q","2017-Q3",102.7,
"BEL","QGDP","VOLIDX","IDX","Q","2017-Q4",103.5,
"BEL","QGDP","VOLIDX","IDX","Q","2018-Q1",104,
"BEL","QGDP","VOLIDX","IDX","Q","2018-Q2",104.5,
"BEL","QGDP","VOLIDX","IDX","Q","2018-Q3",104.8,
"BEL","QGDP","VOLIDX","IDX","Q","2018-Q4",105.7,
"BEL","QGDP","VOLIDX","IDX","Q","2019-Q1",105.9,
"BEL","QGDP","VOLIDX","IDX","Q","2019-Q2",106.3,
"BEL","QGDP","VOLIDX","IDX","Q","2019-Q3",106.8,
"BEL","QGDP","VOLIDX","IDX","Q","2019-Q4",107.4,
"BEL","QGDP","VOLIDX","IDX","Q","2020-Q1",103.8,"P"
"BEL","QGDP","VOLIDX","IDX","Q","2020-Q2",91.5,"P"
"BEL","QGDP","VOLIDX","IDX","Q","2020-Q3",102.2,"P"
"BEL","QGDP","VOLIDX","IDX","Q","2020-Q4",102.2,"P"
"BEL","QGDP","VOLIDX","IDX","Q","2021-Q1",103.2,"P"
"CZE","QGDP","VOLIDX","IDX","Q","2008-Q1",93.9,
"CZE","QGDP","VOLIDX","IDX","Q","2008-Q2",94.6,
"CZE","QGDP","VOLIDX","IDX","Q","2008-Q3",94.8,
"CZE","QGDP","VOLIDX","IDX","Q","2008-Q4",93,
"CZE","QGDP","VOLIDX","IDX","Q","2009-Q1",89.8,
"CZE","QGDP","VOLIDX","IDX","Q","2009-Q2",89.5,
"CZE","QGDP","VOLIDX","IDX","Q","2009-Q3",89.9,
"CZE","QGDP","VOLIDX","IDX","Q","2009-Q4",90,
"CZE","QGDP","VOLIDX","IDX","Q","2010-Q1",90.6,
"CZE","QGDP","VOLIDX","IDX","Q","2010-Q2",91.7,
"CZE","QGDP","VOLIDX","IDX","Q","2010-Q3",92.4,
"CZE","QGDP","VOLIDX","IDX","Q","2010-Q4",92.8,
"CZE","QGDP","VOLIDX","IDX","Q","2011-Q1",93.3,
"CZE","QGDP","VOLIDX","IDX","Q","2011-Q2",93.6,
"CZE","QGDP","VOLIDX","IDX","Q","2011-Q3",93.5,
"CZE","QGDP","VOLIDX","IDX","Q","2011-Q4",93.5,
"CZE","QGDP","VOLIDX","IDX","Q","2012-Q1",93.3,
"CZE","QGDP","VOLIDX","IDX","Q","2012-Q2",92.9,
"CZE","QGDP","VOLIDX","IDX","Q","2012-Q3",92.6,
"CZE","QGDP","VOLIDX","IDX","Q","2012-Q4",92.4,
"CZE","QGDP","VOLIDX","IDX","Q","2013-Q1",92,
"CZE","QGDP","VOLIDX","IDX","Q","2013-Q2",92.4,
"CZE","QGDP","VOLIDX","IDX","Q","2013-Q3",92.7,
"CZE","QGDP","VOLIDX","IDX","Q","2013-Q4",93.9,
"CZE","QGDP","VOLIDX","IDX","Q","2014-Q1",93.3,
"CZE","QGDP","VOLIDX","IDX","Q","2014-Q2",94.3,
"CZE","QGDP","VOLIDX","IDX","Q","2014-Q3",95.4,
"CZE","QGDP","VOLIDX","IDX","Q","2014-Q4",96.5,
"CZE","QGDP","VOLIDX","IDX","Q","2015-Q1",98.3,
"CZE","QGDP","VOLIDX","IDX","Q","2015-Q2",99.7,
"CZE","QGDP","VOLIDX","IDX","Q","2015-Q3",100.8,
"CZE","QGDP","VOLIDX","IDX","Q","2015-Q4",101.4,
"CZE","QGDP","VOLIDX","IDX","Q","2016-Q1",101.6,
"CZE","QGDP","VOLIDX","IDX","Q","2016-Q2",102,
"CZE","QGDP","VOLIDX","IDX","Q","2016-Q3",102.7,
"CZE","QGDP","VOLIDX","IDX","Q","2016-Q4",103.6,
"CZE","QGDP","VOLIDX","IDX","Q","2017-Q1",105.4,
"CZE","QGDP","VOLIDX","IDX","Q","2017-Q2",108.2,
"CZE","QGDP","VOLIDX","IDX","Q","2017-Q3",108.7,
"CZE","QGDP","VOLIDX","IDX","Q","2017-Q4",109.7,
"CZE","QGDP","VOLIDX","IDX","Q","2018-Q1",110.4,
"CZE","QGDP","VOLIDX","IDX","Q","2018-Q2",111.2,
"CZE","QGDP","VOLIDX","IDX","Q","2018-Q3",111.7,
"CZE","QGDP","VOLIDX","IDX","Q","2018-Q4",112.4,
"CZE","QGDP","VOLIDX","IDX","Q","2019-Q1",113.1,
"CZE","QGDP","VOLIDX","IDX","Q","2019-Q2",113.7,
"CZE","QGDP","VOLIDX","IDX","Q","2019-Q3",114.2,
"CZE","QGDP","VOLIDX","IDX","Q","2019-Q4",114.7,
"CZE","QGDP","VOLIDX","IDX","Q","2020-Q1",111.1,
"CZE","QGDP","VOLIDX","IDX","Q","2020-Q2",101.5,
"CZE","QGDP","VOLIDX","IDX","Q","2020-Q3",108.4,
"CZE","QGDP","VOLIDX","IDX","Q","2020-Q4",109.1,
"CZE","QGDP","VOLIDX","IDX","Q","2021-Q1",108.8,
"DNK","QGDP","VOLIDX","IDX","Q","2008-Q1",98.360938,
"DNK","QGDP","VOLIDX","IDX","Q","2008-Q2",97.453377,
"DNK","QGDP","VOLIDX","IDX","Q","2008-Q3",96.884116,
"DNK","QGDP","VOLIDX","IDX","Q","2008-Q4",94.596217,
"DNK","QGDP","VOLIDX","IDX","Q","2009-Q1",93.249689,
"DNK","QGDP","VOLIDX","IDX","Q","2009-Q2",91.442192,
"DNK","QGDP","VOLIDX","IDX","Q","2009-Q3",91.758365,
"DNK","QGDP","VOLIDX","IDX","Q","2009-Q4",91.84163,
"DNK","QGDP","VOLIDX","IDX","Q","2010-Q1",92.634745,
"DNK","QGDP","VOLIDX","IDX","Q","2010-Q2",93.267921,
"DNK","QGDP","VOLIDX","IDX","Q","2010-Q3",94.746565,
"DNK","QGDP","VOLIDX","IDX","Q","2010-Q4",94.533338,
"DNK","QGDP","VOLIDX","IDX","Q","2011-Q1",94.739273,
"DNK","QGDP","VOLIDX","IDX","Q","2011-Q2",95.68887,
"DNK","QGDP","VOLIDX","IDX","Q","2011-Q3",94.498781,
"DNK","QGDP","VOLIDX","IDX","Q","2011-Q4",95.271014,
"DNK","QGDP","VOLIDX","IDX","Q","2012-Q1",95.204841,
"DNK","QGDP","VOLIDX","IDX","Q","2012-Q2",95.276483,
"DNK","QGDP","VOLIDX","IDX","Q","2012-Q3",95.365942,
"DNK","QGDP","VOLIDX","IDX","Q","2012-Q4",95.211802,
"DNK","QGDP","VOLIDX","IDX","Q","2013-Q1",95.74864,
"DNK","QGDP","VOLIDX","IDX","Q","2013-Q2",95.819764,
"DNK","QGDP","VOLIDX","IDX","Q","2013-Q3",96.426669,
"DNK","QGDP","VOLIDX","IDX","Q","2013-Q4",96.620587,
"DNK","QGDP","VOLIDX","IDX","Q","2014-Q1",96.865284,
"DNK","QGDP","VOLIDX","IDX","Q","2014-Q2",96.795113,
"DNK","QGDP","VOLIDX","IDX","Q","2014-Q3",98.415343,
"DNK","QGDP","VOLIDX","IDX","Q","2014-Q4",98.768352,
"DNK","QGDP","VOLIDX","IDX","Q","2015-Q1",99.444599,
"DNK","QGDP","VOLIDX","IDX","Q","2015-Q2",99.909774,
"DNK","QGDP","VOLIDX","IDX","Q","2015-Q3",100.211155,
"DNK","QGDP","VOLIDX","IDX","Q","2015-Q4",100.434451,
"DNK","QGDP","VOLIDX","IDX","Q","2016-Q1",101.591515,
"DNK","QGDP","VOLIDX","IDX","Q","2016-Q2",102.96568,
"DNK","QGDP","VOLIDX","IDX","Q","2016-Q3",103.839222,
"DNK","QGDP","VOLIDX","IDX","Q","2016-Q4",104.587381,
"DNK","QGDP","VOLIDX","IDX","Q","2017-Q1",105.3,
"DNK","QGDP","VOLIDX","IDX","Q","2017-Q2",106.4,
"DNK","QGDP","VOLIDX","IDX","Q","2017-Q3",106.1,
"DNK","QGDP","VOLIDX","IDX","Q","2017-Q4",106.9,
"DNK","QGDP","VOLIDX","IDX","Q","2018-Q1",107.5,
"DNK","QGDP","VOLIDX","IDX","Q","2018-Q2",108,
"DNK","QGDP","VOLIDX","IDX","Q","2018-Q3",108.8,
"DNK","QGDP","VOLIDX","IDX","Q","2018-Q4",109.5,
"DNK","QGDP","VOLIDX","IDX","Q","2019-Q1",110.4,
"DNK","QGDP","VOLIDX","IDX","Q","2019-Q2",111.6,
"DNK","QGDP","VOLIDX","IDX","Q","2019-Q3",112.1,
"DNK","QGDP","VOLIDX","IDX","Q","2019-Q4",112.2,
"DNK","QGDP","VOLIDX","IDX","Q","2020-Q1",110.6,
"DNK","QGDP","VOLIDX","IDX","Q","2020-Q2",103.3,
"DNK","QGDP","VOLIDX","IDX","Q","2020-Q3",109.6,
"DNK","QGDP","VOLIDX","IDX","Q","2020-Q4",110.6,
"DNK","QGDP","VOLIDX","IDX","Q","2021-Q1",109.1,
"FIN","QGDP","VOLIDX","IDX","Q","2008-Q1",106,
"FIN","QGDP","VOLIDX","IDX","Q","2008-Q2",105.2,
"FIN","QGDP","VOLIDX","IDX","Q","2008-Q3",105.6,
"FIN","QGDP","VOLIDX","IDX","Q","2008-Q4",103.3,
"FIN","QGDP","VOLIDX","IDX","Q","2009-Q1",96.6,
"FIN","QGDP","VOLIDX","IDX","Q","2009-Q2",96.2,
"FIN","QGDP","VOLIDX","IDX","Q","2009-Q3",97.1,
"FIN","QGDP","VOLIDX","IDX","Q","2009-Q4",96.3,
"FIN","QGDP","VOLIDX","IDX","Q","2010-Q1",97.3,
"FIN","QGDP","VOLIDX","IDX","Q","2010-Q2",100,
"FIN","QGDP","VOLIDX","IDX","Q","2010-Q3",99.5,
"FIN","QGDP","VOLIDX","IDX","Q","2010-Q4",101.7,
"FIN","QGDP","VOLIDX","IDX","Q","2011-Q1",102.2,
"FIN","QGDP","VOLIDX","IDX","Q","2011-Q2",102,
"FIN","QGDP","VOLIDX","IDX","Q","2011-Q3",102.2,
"FIN","QGDP","VOLIDX","IDX","Q","2011-Q4",102.2,
"FIN","QGDP","VOLIDX","IDX","Q","2012-Q1",101.7,
"FIN","QGDP","VOLIDX","IDX","Q","2012-Q2",100.7,
"FIN","QGDP","VOLIDX","IDX","Q","2012-Q3",100.3,
"FIN","QGDP","VOLIDX","IDX","Q","2012-Q4",100.2,
"FIN","QGDP","VOLIDX","IDX","Q","2013-Q1",99.4,
"FIN","QGDP","VOLIDX","IDX","Q","2013-Q2",99.8,
"FIN","QGDP","VOLIDX","IDX","Q","2013-Q3",100.1,
"FIN","QGDP","VOLIDX","IDX","Q","2013-Q4",100,
"FIN","QGDP","VOLIDX","IDX","Q","2014-Q1",99.2,
"FIN","QGDP","VOLIDX","IDX","Q","2014-Q2",99.4,
"FIN","QGDP","VOLIDX","IDX","Q","2014-Q3",99.7,
"FIN","QGDP","VOLIDX","IDX","Q","2014-Q4",99.5,
"FIN","QGDP","VOLIDX","IDX","Q","2015-Q1",98.8,
"FIN","QGDP","VOLIDX","IDX","Q","2015-Q2",100.3,
"FIN","QGDP","VOLIDX","IDX","Q","2015-Q3",100.2,
"FIN","QGDP","VOLIDX","IDX","Q","2015-Q4",100.7,
"FIN","QGDP","VOLIDX","IDX","Q","2016-Q1",102,
"FIN","QGDP","VOLIDX","IDX","Q","2016-Q2",102.1,
"FIN","QGDP","VOLIDX","IDX","Q","2016-Q3",103.3,
"FIN","QGDP","VOLIDX","IDX","Q","2016-Q4",103.8,
"FIN","QGDP","VOLIDX","IDX","Q","2017-Q1",104.9,
"FIN","QGDP","VOLIDX","IDX","Q","2017-Q2",106,
"FIN","QGDP","VOLIDX","IDX","Q","2017-Q3",106.3,
"FIN","QGDP","VOLIDX","IDX","Q","2017-Q4",107.2,
"FIN","QGDP","VOLIDX","IDX","Q","2018-Q1",107.6,
"FIN","QGDP","VOLIDX","IDX","Q","2018-Q2",107.5,
"FIN","QGDP","VOLIDX","IDX","Q","2018-Q3",107.3,
"FIN","QGDP","VOLIDX","IDX","Q","2018-Q4",107.6,
"FIN","QGDP","VOLIDX","IDX","Q","2019-Q1",108.6,
"FIN","QGDP","VOLIDX","IDX","Q","2019-Q2",109.4,
"FIN","QGDP","VOLIDX","IDX","Q","2019-Q3",109.1,
"FIN","QGDP","VOLIDX","IDX","Q","2019-Q4",108.4,
"FIN","QGDP","VOLIDX","IDX","Q","2020-Q1",108,
"FIN","QGDP","VOLIDX","IDX","Q","2020-Q2",102.9,
"FIN","QGDP","VOLIDX","IDX","Q","2020-Q3",106.2,
"FIN","QGDP","VOLIDX","IDX","Q","2020-Q4",106.6,
"FIN","QGDP","VOLIDX","IDX","Q","2021-Q1",106.5,
"FRA","QGDP","VOLIDX","IDX","Q","2008-Q1",96.7,
"FRA","QGDP","VOLIDX","IDX","Q","2008-Q2",96.2,
"FRA","QGDP","VOLIDX","IDX","Q","2008-Q3",96,
"FRA","QGDP","VOLIDX","IDX","Q","2008-Q4",94.6,
"FRA","QGDP","VOLIDX","IDX","Q","2009-Q1",93,
"FRA","QGDP","VOLIDX","IDX","Q","2009-Q2",93,
"FRA","QGDP","VOLIDX","IDX","Q","2009-Q3",93.1,
"FRA","QGDP","VOLIDX","IDX","Q","2009-Q4",93.8,
"FRA","QGDP","VOLIDX","IDX","Q","2010-Q1",94.1,
"FRA","QGDP","VOLIDX","IDX","Q","2010-Q2",94.6,
"FRA","QGDP","VOLIDX","IDX","Q","2010-Q3",95.2,
"FRA","QGDP","VOLIDX","IDX","Q","2010-Q4",95.9,
"FRA","QGDP","VOLIDX","IDX","Q","2011-Q1",96.8,
"FRA","QGDP","VOLIDX","IDX","Q","2011-Q2",96.8,
"FRA","QGDP","VOLIDX","IDX","Q","2011-Q3",97.2,
"FRA","QGDP","VOLIDX","IDX","Q","2011-Q4",97.4,
"FRA","QGDP","VOLIDX","IDX","Q","2012-Q1",97.5,
"FRA","QGDP","VOLIDX","IDX","Q","2012-Q2",97.3,
"FRA","QGDP","VOLIDX","IDX","Q","2012-Q3",97.5,
"FRA","QGDP","VOLIDX","IDX","Q","2012-Q4",97.4,
"FRA","QGDP","VOLIDX","IDX","Q","2013-Q1",97.4,
"FRA","QGDP","VOLIDX","IDX","Q","2013-Q2",98,
"FRA","QGDP","VOLIDX","IDX","Q","2013-Q3",98.1,
"FRA","QGDP","VOLIDX","IDX","Q","2013-Q4",98.5,
"FRA","QGDP","VOLIDX","IDX","Q","2014-Q1",98.6,
"FRA","QGDP","VOLIDX","IDX","Q","2014-Q2",98.7,
"FRA","QGDP","VOLIDX","IDX","Q","2014-Q3",99.2,
"FRA","QGDP","VOLIDX","IDX","Q","2014-Q4",99.3,
"FRA","QGDP","VOLIDX","IDX","Q","2015-Q1",99.8,
"FRA","QGDP","VOLIDX","IDX","Q","2015-Q2",99.8,
"FRA","QGDP","VOLIDX","IDX","Q","2015-Q3",100.1,
"FRA","QGDP","VOLIDX","IDX","Q","2015-Q4",100.3,
"FRA","QGDP","VOLIDX","IDX","Q","2016-Q1",100.9,
"FRA","QGDP","VOLIDX","IDX","Q","2016-Q2",100.7,
"FRA","QGDP","VOLIDX","IDX","Q","2016-Q3",101,
"FRA","QGDP","VOLIDX","IDX","Q","2016-Q4",101.5,
"FRA","QGDP","VOLIDX","IDX","Q","2017-Q1",102.3,
"FRA","QGDP","VOLIDX","IDX","Q","2017-Q2",103.2,
"FRA","QGDP","VOLIDX","IDX","Q","2017-Q3",103.8,
"FRA","QGDP","VOLIDX","IDX","Q","2017-Q4",104.7,
"FRA","QGDP","VOLIDX","IDX","Q","2018-Q1",104.7,
"FRA","QGDP","VOLIDX","IDX","Q","2018-Q2",105.1,
"FRA","QGDP","VOLIDX","IDX","Q","2018-Q3",105.6,
"FRA","QGDP","VOLIDX","IDX","Q","2018-Q4",106.2,
"FRA","QGDP","VOLIDX","IDX","Q","2019-Q1",106.9,
"FRA","QGDP","VOLIDX","IDX","Q","2019-Q2",107.5,
"FRA","QGDP","VOLIDX","IDX","Q","2019-Q3",107.7,
"FRA","QGDP","VOLIDX","IDX","Q","2019-Q4",107.3,
"FRA","QGDP","VOLIDX","IDX","Q","2020-Q1",101,
"FRA","QGDP","VOLIDX","IDX","Q","2020-Q2",87.7,
"FRA","QGDP","VOLIDX","IDX","Q","2020-Q3",103.9,
"FRA","QGDP","VOLIDX","IDX","Q","2020-Q4",102.4,
"FRA","QGDP","VOLIDX","IDX","Q","2021-Q1",102.2,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q1",94.3,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q2",94.1,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q3",93.5,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q4",92,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q1",87.7,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q2",87.8,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q3",88.3,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q4",89,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q1",89.7,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q2",91.7,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q3",92.5,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q4",93.2,
"DEU","QGDP","VOLIDX","IDX","Q","2011-Q1",95,
"DEU","QGDP","VOLIDX","IDX","Q","2011-Q2",95.1,
"DEU","QGDP","VOLIDX","IDX","Q","2011-Q3",95.9,
"DEU","QGDP","VOLIDX","IDX","Q","2011-Q4",95.6,
"DEU","QGDP","VOLIDX","IDX","Q","2012-Q1",95.8,
"DEU","QGDP","VOLIDX","IDX","Q","2012-Q2",96,
"DEU","QGDP","VOLIDX","IDX","Q","2012-Q3",96.3,
"DEU","QGDP","VOLIDX","IDX","Q","2012-Q4",95.9,
"DEU","QGDP","VOLIDX","IDX","Q","2013-Q1",95.4,
"DEU","QGDP","VOLIDX","IDX","Q","2013-Q2",96.5,
"DEU","QGDP","VOLIDX","IDX","Q","2013-Q3",97,
"DEU","QGDP","VOLIDX","IDX","Q","2013-Q4",97.3,
"DEU","QGDP","VOLIDX","IDX","Q","2014-Q1",98.2,
"DEU","QGDP","VOLIDX","IDX","Q","2014-Q2",98.2,
"DEU","QGDP","VOLIDX","IDX","Q","2014-Q3",98.7,
"DEU","QGDP","VOLIDX","IDX","Q","2014-Q4",99.5,
"DEU","QGDP","VOLIDX","IDX","Q","2015-Q1",99,
"DEU","QGDP","VOLIDX","IDX","Q","2015-Q2",99.7,
"DEU","QGDP","VOLIDX","IDX","Q","2015-Q3",100.2,
"DEU","QGDP","VOLIDX","IDX","Q","2015-Q4",100.6,
"DEU","QGDP","VOLIDX","IDX","Q","2016-Q1",101.5,
"DEU","QGDP","VOLIDX","IDX","Q","2016-Q2",101.9,
"DEU","QGDP","VOLIDX","IDX","Q","2016-Q3",102.2,
"DEU","QGDP","VOLIDX","IDX","Q","2016-Q4",102.5,
"DEU","QGDP","VOLIDX","IDX","Q","2017-Q1",103.8,
"DEU","QGDP","VOLIDX","IDX","Q","2017-Q2",104.5,
"DEU","QGDP","VOLIDX","IDX","Q","2017-Q3",105.4,
"DEU","QGDP","VOLIDX","IDX","Q","2017-Q4",106.3,
"DEU","QGDP","VOLIDX","IDX","Q","2018-Q1",106.1,
"DEU","QGDP","VOLIDX","IDX","Q","2018-Q2",106.6,
"DEU","QGDP","VOLIDX","IDX","Q","2018-Q3",106.2,
"DEU","QGDP","VOLIDX","IDX","Q","2018-Q4",106.6,
"DEU","QGDP","VOLIDX","IDX","Q","2019-Q1",107.2,
"DEU","QGDP","VOLIDX","IDX","Q","2019-Q2",106.7,
"DEU","QGDP","VOLIDX","IDX","Q","2019-Q3",107,
"DEU","QGDP","VOLIDX","IDX","Q","2019-Q4",107,
"DEU","QGDP","VOLIDX","IDX","Q","2020-Q1",104.9,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2020-Q2",94.7,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2020-Q3",102.9,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2020-Q4",103.5,"P"
"DEU","QGDP","VOLIDX","IDX","Q","2021-Q1",101.6,"P"
"GRC","QGDP","VOLIDX","IDX","Q","2008-Q1",143.2,
"GRC","QGDP","VOLIDX","IDX","Q","2008-Q2",142.2,
"GRC","QGDP","VOLIDX","IDX","Q","2008-Q3",142.1,
"GRC","QGDP","VOLIDX","IDX","Q","2008-Q4",140.1,
"GRC","QGDP","VOLIDX","IDX","Q","2009-Q1",133.5,
"GRC","QGDP","VOLIDX","IDX","Q","2009-Q2",137.2,
"GRC","QGDP","VOLIDX","IDX","Q","2009-Q3",136.2,
"GRC","QGDP","VOLIDX","IDX","Q","2009-Q4",136.4,
"GRC","QGDP","VOLIDX","IDX","Q","2010-Q1",128.5,"B"
"GRC","QGDP","VOLIDX","IDX","Q","2010-Q2",124.2,"B"
"GRC","QGDP","VOLIDX","IDX","Q","2010-Q3",120.3,"B"
"GRC","QGDP","VOLIDX","IDX","Q","2010-Q4",118.8,"B"
"GRC","QGDP","VOLIDX","IDX","Q","2011-Q1",114.5,"P"
"GRC","QGDP","VOLIDX","IDX","Q","2011-Q2",112.2,"P"
